topic,st,class
g346 公告-偶发性-宏基,厂商,0
g680 空气-温度-高温,高温,2
g1048 奶粉-海淘-奶源,奶粉,0
g701 桥水-ray-达里奥,其他,2
g708 腿-脚-行走,脚,2
g585 佛-和尚-师父,其他,2
g1319 香港-澳门-记者会,香港,2
g989 旅游-酒店-游客,旅游,0
g1053 大幅-下降-增速,下降,1
g961 警方-犯罪-公安,公安,2
g169 冷-冬天-夏天,季节,2
g925 关注-发布-提示,发布,1
g832 净-成交额-流出,成交额,1
g614 民族-国人-天朝,中国,2
g705 内蒙古-内蒙古自治区-呼和浩特,内蒙古,2
g1253 追认-金芙蓉-渤商大百,企业,1
g1114 连接-节点-链,其他,2
g591 茶-饮-茶叶,茶,0
g514 扣划-内非-止付,支付,2
g302 城市-一线-二线,城市,2
g778 奢侈品-奢侈-国际品牌,奢侈品,0
g412 请到-新浪金融-有保,其他,2
g53 花-每月-花费,其他,2
g487 言-之人-善,其他,2
g1056 自媒-亿翰君-任时光匆匆,其他,2
g434 钱-一笔-手里,钱,2
g606 理念-实践-境界,境界,2
g686 中播-迅程-网上游戏,网游,0
g559 风险-建议-等待,风险,2
g516 公众-敬请-公号,公众号,2
g596 周边-北上-大城市,大城市,2
g901 国王-贵族-英国人,贵族,2
g666 薇-赵薇-范冰冰,明星,2
g742 翠竹-享款-尊特款,其他,2
g60 收评-大盘走势-解盘,走势,1
g660 养殖-饲料-生猪,养猪,0
g984 书生-赶考-以身相许,赶考,2
g1007 南-北-西,方位,2
g1156 道指-收跌-收涨,收跌,1
g781 bwkx-1...-2...,其他,2
g1250 中药-阿胶-保健,中药,0
g1288 承受度-励精-行股,其他,2
g578 刷-支付宝-卡,支付,0
g581 祝-快乐-愉快,心情,2
g955 关联交易-异常-关联方,异常,1
g862 家-数量-多家,数量,1
g129 终身-缴费-赔付,缴费,0
g335 逻辑-证明-正确,逻辑,2
g764 拉-盘-砸,砸盘,1
g1026 _URL_-附属-财华社,财华社,1
g907 打赏-我刚-送给,打赏,2
g468 地点-开业-广场,广场,0
g664 唱-歌-舞,唱歌,2
g314 心-心灵-世间,心灵,2
g406 略有结余-∞-天经,其他,2
g1219 nbsp-信托-特此,信托,0
g765 文化-记载-千年,历史文化,2
g183 日本政府-日媒-安倍,日本政府,2
g766 复盘-日志-今日复盘,日志,1
g702 勤奋-感悟-修炼,勤奋,2
g1158 同卖-创买-追不,其他,2
g239 金属-铜-钴,贵金属,0
g222 医疗-医生-医疗机构,医疗,0
g105 服务-模式-传统,服务,2
g261 阿里-电商-双,电商,0
g353 公益-资助-基金会,公益,0
g926 下车-开车-出门,开车,2
g717 农业-粮-化肥,农业,0
g834 疫苗-流感-苗,疫苗,0
g603 富士康-三星电子-东芝,电子,0
g903 幼儿园-教育部-招生,教育,0
g138 中车-海康-中科,安防,0
g1259 销量-新能源汽车-辆,新能源汽车,0
g229 垃圾-这股-这货,垃圾,2
g1303 处置-回收-废,回收,0
g518 工资-薪酬-养老金,薪酬,2
g355 淘礼网-鸿丰小贷-澳菲利,互联网金融,0
g1278 以东-以西-交界处,交界处,2
g822 伊朗-叙利亚-伊拉克,伊拉克,2
g870 销售-品牌-渠道,品牌,0
g71 腾讯-360-移动互联网,互联网,0
g402 无对-自怜-但融,怜悯,2
g1218 识别-机器-算法,算法,0
g171 通讯社-升-专讯,通讯社,2
g437 印刷-打印-纸质,印刷,0
g269 事情-难-做好,事情,2
g162 市场-预期-调整,预期,1
g390 沒有-至於-意味著,没有,2
g33 部门-负责-副,负责,2
g401 管理层-董-董秘,董秘,1
g788 面对-态度-应对,态度,2
g1152 详情请-试乘试驾-楼兰,楼兰,2
g148 证监会-资本市场-独角兽,资本市场,1
g621 吃饭-菜-饭,吃饭,2
g163 图形-顶部-曲线,顶部,1
g1208 片-硅-纳米,半导体,0
g200 人生-美好-时光,美好时光,2
g82 亿-万亿-百万,万亿,1
g497 涨停-板-开板,开板,1
g924 贷款-借款-贷,借贷,1
g153 遭盗-蛋卷斗牛80后奋斗-蛋卷斗牛00后教育,基金,1
g819 乐视-贾跃亭-孙宏斌,乐视,0
g693 临床试验-批件-单抗,临床,0
g1306 冠军-比赛-选手,比赛,2
g63 物流-快递-仓储,快递,0
g675 土地-产权-安置,土地,0
g599 指-正面-软,正面,2
g1111 电力-电-充电桩,电力,0
g433 神-大师-股神,大师,2
g1271 硬-粉-铁,粉丝,2
g90 主力-筹码-出货,筹码,1
g277 財經-聲明-及時,声明,1
g231 临时-新昶虹-卡特股份,公司,2
g209 楼-小区-大楼,小区,2
g601 记者-财-商报,商报,2
g645 募集-拟-发布公告,发布公告,1
g874 货物-进出口-海关,海关,0
g89 fp-保本-产品名称,其他,2
g31 英国-欧盟-欧,欧盟,2
g657 2012-时期-2011,时期,2
g937 境外-外汇-境内,外汇,1
g824 飞-吹-风,其他,2
g325 岁-年轻-一生,年轻,2
g84 围棋-人机-alphago,围棋,0
g881 大学-清华-北大,清华,2
g62 组-小组-随机,小组,2
g648 國-美國-經濟,美国,2
g1109 恩-特-?,其他,2
g963 欲-重回-接连,其他,2
g167 目标价-沽空-智通财经app,目标价,1
g905 脚下-大山-山上,大山,2
g168 跌停-跌幅-涨跌,跌幅,1
g879 老师-培训-报名,培训,0
g77 顽主-实盘赛-湖南顽主,其他,2
g22 饼-烤-饺子,饭,2
g236 赵老哥-敢死队-养家,游资,1
g12 乾元-pa-得盈,其他,2
g137 平安-保-保险公司,保险,0
g21 加息-美联储-货币政策,货币政策,1
g1314 关系-博弈-矛盾,其他,2
g919 中心-大型-位于,位于,2
g397 漂亮-脸-拍,漂亮,2
g1067 老千-?-咩,其他,2
g78 电池-锂电池-锂电,电池,0
g804 pdf-公司公告-股份有限公司,公司公告,1
g240 学习-知识-学,知识,2
g668 分子-细胞-免疫,生物,0
g407 支付-现金-扣除,支付,0
g1195 不求-觉悟-富贵,觉悟,2
g917 规律-大势-人心,大势,2
g18 制药-药业-正大,制药,0
g452 区域-区-京津冀,区域,2
g492 货币-通货膨胀-兑换,通货膨胀,1
g962 资金-股票-交易,股票,1
g612 转型-实力-机遇,实力,1
g672 节能-风力-热电,热力,0
g1166 上市-港交所-股票代码,港交所,1
g1133 零售业-百货-购物中心,零售,0
g803 负债-余额-应收,余额,1
g1159 财务-会计-核算,会计,1
g439 饮料-咖啡-口味,饮料,0
g663 份额-赎回-转入,赎回,1
g1155 龙头-次-热点,龙头,1
g1225 加拿大-澳大利亚-澳洲,澳洲,2
g1267 开采-勘探-可燃冰,勘探,0
g310 南海-海域-巡航,南海,2
g1273 臺-開放-強大,强大,2
g1127 监管-资管-资,资管,1
g311 精神-事业-梦想,事业,2
g1110 秦国-财视-安看,其他,2
g893 银行-行-同业,银行,0
g1260 小说-作家-文艺,小说,0
g196 长江-中原-江南,中原,2
g30 社交媒体-推特-扎克伯格,社交媒体,0
g897 餐饮-餐厅-美食,餐饮,0
g541 留意-今早-升幅,今早,1
g588 台湾-蔡-台湾地区,台湾,2
g483 基业-运通-大可,运通,2
g782 船-海上-艘,船,2
g294 化学-合成-制备,化学,0
g352 重量-外壳-毫米,重量,2
g453 演员-偶像-代言,偶像,2
g1096 动物-老鼠-猫,老鼠,2
g111 夺冠-中国队-国足,国足,2
g1136 干净-清洗-温水,清洗,2
g128 食品-猪肉-食品安全,食品,0
g348 仓位-加仓-持仓,加仓,1
g149 黄金-金-银,黄金,0
g1237 结婚-父亲-女儿,父亲,2
g6 选择-标的-适合,标的,2
g13 研究员-●-不达,研究员,1
g566 传感器-光学-激光,传感器,0
g940 最佳-授予-入选,授予,2
g349 私募-证券投资-投资顾问,证券投资,1
g1291 钢材-螺纹钢-螺纹,钢材,0
g118 获赔-索赔案-许峰律师,获赔,2
g477 意见书-事务所-律师,意见书,1
g1033 发电-上网-水电,电力,0
g916 土地流转-确权-宅基地,确权,2
g1061 朋友-身边-同事,同事,2
g570 价位-成本价-几分,成本价,1
g152 爱-红-宝宝,其他,2
g771 韩国-韩-首尔,韩国,2
g1239 制度-机制-统一,机制,2
g959 社会-价值观-道德,价值观,2
g1141 表演-舞台-演出,演出,0
g1120 越大-越高-越多,越高,2
g308 数字-区块链-虚拟,区块链,0
g934 公布-最新-旗下,最新,2
g633 来源-作者-转载自,来源,2
g649 size-filed-accno,其他,2
g1103 疗法-免疫治疗-l1,医疗,0
g1087 形态-一根-根,形态,2
g740 领导-机关-干部,机关,2
g350 得主-凯恩斯-诺贝尔经济学奖,得主,2
g394 航母-导弹-海军,军工,0
g1015 淮南-安顺-如东,安顺,2
g103 不见-知-情,不见,2
g1316 功效-解毒-安神,疗效,0
g913 拥有-多年-地位,多年,2
g488 _USER_-刘晓-李佳,刘晓,2
g659 路-一路-道路,道路,2
g613 指数-新兴市场-恒生,新兴市场,1
g1140 朝鲜-局势-军事,局势,2
g1172 基因-检测-诊断,基因检测,0
g500 诚信-做事-人品,做事,2
g1242 奔跑-骑-大象,大象,2
g1165 大脑-感知-神经,感知,0
g1100 可转债-破发-转债,破发,1
g715 队-踢-金牌,金牌,2
g375 支行-五四路-030985,支行,2
g75 朋友圈-公关-知乎,公关,2
g1019 ↓-精彩内容-蓝字,其他,2
g710 业绩-披露-年报,年报,1
g716 [笑]-[很赞]-[牛],其他,2
g568 人非-闻道-不笑,闻道,2
g998 旅客-航线-运力,航运,0
g1044 人类-文明-进化,文明,2
g98 朝廷-曾国藩-上书,上书,2
g600 投资基金-开放式-混合型,投资基金,1
g58 采购网-鼎鑫-沙河市,采购,0
g1088 休闲-景区-三亚,景区,0
g154 历史-背后-众多,历史,2
g1284 3d-屏幕-玻璃,屏幕,0
g1022 港元-卖方-买方,卖方,1
g415 直营-同店-品牌战略,同店,0
g941 半导体-集成电路-ic,半导体,0
g380 易方达投资级信用债-元项-易方达信用债,债券,0
g68 持股-十大-社保,社保,1
g671 穿-一身-帽子,帽子,2
g73 谢谢-感谢-请教,感谢,2
g141 海洋-岛-海底,海底,2
g527 本报记者-证券时报-证券日报,报纸,2
g263 燃油-燃料-汽油,燃油,0
g499 攻击-战场-发动,战场,2
g313 万台-重型-挖掘机,挖掘机,0
g935 zh-日减-日加,其他,2
g260 八字-巳-节气,其他,2
g728 农药-新品种-转基因,转基因,0
g887 雪球-实盘-价投,实盘,1
g1234 考验-生存-坚守,生存,2
g1171 酱油-海天-榨菜,酱油,0
g880 违规-违法-检查,违规,2
g387 党-贯彻-充分认识,贯彻,2
g1308 总裁-副总裁-cto,总裁,0
g831 孔子-古人-伟人,孔子,2
g972 医院-医学-三甲,医院,0
g923 週-高開-天線,高开,2
g1094 中标-招标-承包,招标,0
g337 收-交-退,交,2
g457 观众-拍摄-戏,拍摄,0
g964 发展-产业-创新,产业,0
g241 药品-医保-药店,药品,0
g626 后人-一世-祖宗,祖宗,2
g135 科技-自有-娱乐,娱乐,0
g54 挖贝网-钟舟电气-酷买网,自动化,0
g106 讲述-欣赏-生动,欣赏,2
g1301 沪-深-两市,两市,1
g729 柳传志-出狱-入狱,出狱,2
g982 少女-自拍-女王,自拍,2
g864 贸易-进口-出口,进口,1
g184 动漫-玩具-动画,动漫,0
g99 疾病-患者-儿童,患者,0
g1305 物理-定律-观测,定律,2
g958 刀-疼-砍,刀,2
g1252 门票-乘客-乘坐,乘客,0
g121 徐翔-王亚伟-成泉,游资,1
g1176 交易所-期货-交易量,期货,1
g638 制作-电视剧-爱奇艺,电视剧,0
g357 谭倩-吴慧敏-奉玮,其他,2
g276 事件-调查-曝光,调查,2
g479 房价-房-调控,房价,0
g351 出生-二胎-婴儿,二胎,2
g76 投稿-如觉-发送至,如觉,2
g472 上市公司-大股东-并购,并购,1
g703 huayu1905-fiona-jackzhao,其他,2
g1262 杭州-浙江-江苏,江苏,2
g985 损失-遭遇-危机,损失,2
g456 安装-作业-高压,高压,0
g1082 债券-信用-国债,国债,0
g950 作品-记-出品,作品,2
g673 嘉实-嘉实成长收益-广发中小板,基金,0
g953 大会-暨-论坛,论坛,2
g466 新闸-中山东路-中山南路,地点,2
g677 检方-朴槿惠-弹劾,朴槿惠,2
g555 身体-锻炼-食物,锻炼,2
